ERK_ID;ERK_DATUM;ERK_PRUEFER;ERK_KOORDINATEN;ERK_ORT;ERK_AUFSCHLUSS_OB;ERK_AUFSCHLUSS_TOB;ERK_AUFSCHLUSS_UG;ERK_OBERKANTE;ERK_BELASTUNGSKLASSE;ERK_PECH_QUALITATIV;ERK_PECH_QUANTITATIV;ERK_TRAG_PLANUM;ERK_TRAG_GRABENSOHLE;ERK_VERBUND_UNTERLAGE;ERK_LP;ERK_LP1;ERK_LP2;ERK_LP3;ERK_LP_MEAN;ERK_LP_EV;ERK_LP_EV15;ERK_LP_EV2;SCHICHT_ID;CHEMIE_ID;SCHICHT_NR;SCHICHT_AUFSCHLUSS;SCHICHT_ART;SCHICHT_KOERNUNG;SCHICHT_DICKE;SCHICHT_TIEFE_START;SCHICHT_TIEFE_ENDE;SCHICHT_PECH;SCHICHT_RUNDUNGSGRAD_GESTUFTHEIT;SCHICHT_FARBE;SCHICHT_KONSISTENZ;SCHICHT_FEUCHTIGKEIT;SCHICHT_WASSERGEHALT;SCHICHT_WASSERPROCTOR;SCHICHT_BEMERKUNGEN;SCHICHT_BEHAELTNIS;SCHICHT_ABFALLART;SCHICHT_GERUCH;SCHICHT_KORNGROESSENVERTEILUNG;SCHICHT_RUK_NR;SCHICHT_RUK_PROBE;SCHICHT_RUK;SCHICHT_DRUCKFESTIGKEIT;CHEMIE_MUFV;CHEMIE_LFS;CHEMIE_LAGA_BO;CHEMIE_LAGA_RC;CHEMIE_LAGARC_ORIENTIERUNGSWERT;CHEMIE_TLGESTEIN;CHEMIE_DEPV;CHEMIE_ENTSCHEIDUNGSHILFE;CHEMIE_REKU;CHEMIE_ASBEST;CHEMIE_PCB;CHEMIE_BTEX;;;;
FB2;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376100 5556931;K 35, NK 5809 018 – NK 5809 016, Stat. 0+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;2;0,59;0,55;0,48;0,54;41,7;35;< 80;11;;5;TOB;Gem. a. G. (NS);0/45;20;28;48;;BK, sg;braun;;;;;;Eimer 10L;Gem. a. G. (NS);neutral;;;;;;;;;;;;;;;;;;;;;
FB2;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376100 5556931;K 35, NK 5809 018 – NK 5809 016, Stat. 0+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;2;0,59;0,55;0,48;0,54;41,7;35;< 80;12;;6;UG;ST* - TL;0/20;102;48;150;;;beige;steif-halbfest;~;13,6;;;Eimer 10L;Boden;neutral;;;;;;;;;;;;;;;;;;;;;
FB3;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376448 5557302;K 35, NK 5809 018 – NK 5809 016, Stat. 1+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;13;;1;GOB;Asphalt;0/8;2,5;0;2,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;1;Sammelprobe;56,0;;;;;;;;;;;;;;;;;
FB3;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376448 5557302;K 35, NK 5809 018 – NK 5809 016, Stat. 1+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;14;;2;GOB;Asphalt;0/16;4;2,5;6,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;2;Sammelprobe;51,0;;;;;;;;;;;;;;;;;
FB3;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376448 5557302;K 35, NK 5809 018 – NK 5809 016, Stat. 1+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;15;;3;GOB;Asphalt;0/22;8;6,5;14,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;3;Sammelprobe;70,0;;;;;;;;;;;;;;;;;
FB3;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376448 5557302;K 35, NK 5809 018 – NK 5809 016, Stat. 1+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;16;;4;TOB;Gem. a. G. (LS);0/22;10,5;14,5;25;;BK, sg;rotbraun;;;;;;Eimer 10L;Gem. a. G. (LS);neutral;;;;;;;;;;;;;;;;;;;;;
FB3;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376448 5557302;K 35, NK 5809 018 – NK 5809 016, Stat. 1+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;17;;5;TOB;Gem. a. G. (NS);0/32;20;25;45;;BK, sg;rotbraun;;;;;;Eimer 10L;Gem. a. G. (NS);neutral;;;;;;;;;;;;;;;;;;;;;
FB3;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376448 5557302;K 35, NK 5809 018 – NK 5809 016, Stat. 1+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;18;;6;UG;[GU];0/40;50;45;95;;;braun-grau-rötlich;;<;4,2;;;Eimer 10L;Auffüllung (Boden);neutral;;;;;;;;;;;;;;;;;;;;;
FB3;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376448 5557302;K 35, NK 5809 018 – NK 5809 016, Stat. 1+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;19;;7;UG;TL - ST*;0/20;55;95;150;;;braun;steif;?;16,5;;;Eimer 10L;Boden;neutral;;;;;;;;;;;;;;;;;;;;;
FB4;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 376753 5557612;K 35, NK 5809 018 – NK 5809 016, Stat. 1+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;20;;1;GOB;Asphalt;0/8;2;0;2;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;4;Sammelprobe;54,0;;;;;;;;;;;;;;;;;
FB4;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 376753 5557612;K 35, NK 5809 018 – NK 5809 016, Stat. 1+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;21;;2;GOB;Asphalt;0/16;3,5;2;5,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;5;Sammelprobe;51,2;;;;;;;;;;;;;;;;;
FB4;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 376753 5557612;K 35, NK 5809 018 – NK 5809 016, Stat. 1+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;22;;3;GOB;Asphalt;0/22;5,5;5,5;11;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;6;Sammelprobe;53,6;;;;;;;;;;;;;;;;;
FB4;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 376753 5557612;K 35, NK 5809 018 – NK 5809 016, Stat. 1+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;23;;4;GOB;Asphalt;0/22;5;11;16;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;7;Sammelprobe;56,4;;;;;;;;;;;;;;;;;
FB4;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 376753 5557612;K 35, NK 5809 018 – NK 5809 016, Stat. 1+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;24;;5;TOB;Gem. a. G. (LS);0/32;10;16;26;;BK, sg;rotbraun;;;;;;Eimer 10L;Gem. a. G. (LS);neutral;;;;;;;;;;;;;;;;;;;;;
FB4;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 376753 5557612;K 35, NK 5809 018 – NK 5809 016, Stat. 1+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;25;;6;TOB;Gem. a. G. (NS);0/56;15;26;41;;BK, sg;rotbraun;;;;;;Eimer 10L;Gem. a. G. (NS);neutral;;;;;;;;;;;;;;;;;;;;;
FB4;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 376753 5557612;K 35, NK 5809 018 – NK 5809 016, Stat. 1+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;;;;;;;;;26;;7;UG;GT;0/40;49;41;90;;;grau-rotbraun;;~;6,5;;"Rammhindernis; keine tiefere Entnahme möglich / organoleptisch auffällig (Organik)";Eimer 10L;Boden;auffällig;;;;;;;;;;;;;;;;;;;;;
FB5;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377169 5558036;K 35, NK 5809 018 – NK 5809 016, Stat. 2+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;3;0,70;0,71;0,75;0,72;31,3;27;< 80;27;;1;GOB;Asphalt;0/8;2,5;0;2,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;4;Sammelprobe;54,0;;;;;;;;;;;;;;;;;
FB5;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377169 5558036;K 35, NK 5809 018 – NK 5809 016, Stat. 2+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;3;0,70;0,71;0,75;0,72;31,3;27;< 80;28;;2;GOB;Asphalt;0/16;4;2,5;6,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;5;Sammelprobe;51,2;;;;;;;;;;;;;;;;;
FB5;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377169 5558036;K 35, NK 5809 018 – NK 5809 016, Stat. 2+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;3;0,70;0,71;0,75;0,72;31,3;27;< 80;29;;3;GOB;Asphalt;0/22;5,5;6,5;12;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;6;Sammelprobe;53,6;;;;;;;;;;;;;;;;;
FB5;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377169 5558036;K 35, NK 5809 018 – NK 5809 016, Stat. 2+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;3;0,70;0,71;0,75;0,72;31,3;27;< 80;30;;4;GOB;Asphalt;0/32;5,5;12;17,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;7;Sammelprobe;56,4;;;;;;;;;;;;;;;;;
FB5;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377169 5558036;K 35, NK 5809 018 – NK 5809 016, Stat. 2+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;3;0,70;0,71;0,75;0,72;31,3;27;< 80;31;;5;TOB;Gem. a. G. (LS);0/32;10,5;17,5;28;;BK, sg;rotbraun;;;;;;Eimer 10L;Gem. a. G. (LS);neutral;;;;;;;;;;;;;;;;;;;;;
FB5;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377169 5558036;K 35, NK 5809 018 – NK 5809 016, Stat. 2+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;3;0,70;0,71;0,75;0,72;31,3;27;< 80;32;;6;TOB;Gem. a. G. (NS/LS);0/45;15;28;43;;BK, sg;rotbraun;;;;;;Eimer 10L;Gem. a. G. (NS/LS);neutral;;;;;;;;;;;;;;;;;;;;;
FB5;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377169 5558036;K 35, NK 5809 018 – NK 5809 016, Stat. 2+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;3;0,70;0,71;0,75;0,72;31,3;27;< 80;33;;7;UG;GT*;0/40;67;43;110;;;grau-braun;steif;?;7,7;;"Rammhindernis; keine tiefere Entnahme möglich / G = verwitterter Schiefer";Eimer 10L;Boden;neutral;;;;;;;;;;;;;;;;;;;;;
FB6;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377961 5558594;K 35, NK 5809 018 – NK 5809 016, Stat. 3+800, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;4;0,45;0,45;0,43;0,44;50,8;43;< 80;34;;1;GOB;Asphalt;;0,5;0;0,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;;;;;;;;;;;;;;;;;;;;
FB6;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377961 5558594;K 35, NK 5809 018 – NK 5809 016, Stat. 3+800, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;4;0,45;0,45;0,43;0,44;50,8;43;< 80;35;;2;GOB;Asphalt;0/8;3;0,5;3,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;8;Sammelprobe;62,0;;;;;;;;;;;;;;;;;
